Compound_id,pChEMBL Value,smiles
CHEMBL1923091,,CC(C)(C)c1ccc(-c2c(C#N)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)cc1
CHEMBL1923092,,N#Cc1c(-c2ccc(Br)cc2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923093,,N#Cc1c(-c2cccc(Br)c2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923094,,N#Cc1c(-c2ccc[nH]2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923095,,N#Cc1c(-c2cccs2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923096,,N#Cc1c(-c2ccco2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923097,,N#Cc1c(-c2ccc(Br)s2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923098,,Cc1ccc(-c2c(C(N)=O)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)cc1
CHEMBL1923099,,COc1cccc(-c2c(C(N)=O)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c1
CHEMBL1923100,,CC(C)(C)c1ccc(-c2c(C(N)=O)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)cc1
CHEMBL1923101,,NC(=O)c1c(-c2ccc(Br)cc2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923227,,NC(=O)c1c(-c2cccc(Br)c2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923228,,NC(=O)c1c(-c2ccc[nH]2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923229,,NC(=O)c1c(-c2cccs2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923230,,NC(=O)c1c(-c2ccco2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
